,rmse,pkl,class,alpha,uuid,l2,type
53,0.5107964718443727,pkls/7a9a4991-b090-4cf2-abd2-8487850f144d/gaussian_41_dcm_pbe0_adz_esp.pkl,test,0.0,7a9a4991-b090-4cf2-abd2-8487850f144d,0.0,scan
54,0.5254853522983315,pkls/7a9a4991-b090-4cf2-abd2-8487850f144d/test_nms_49_5.xyz_esp.pkl,test,0.0,7a9a4991-b090-4cf2-abd2-8487850f144d,0.0,nms
55,0.49339560906428787,pkls/7a9a4991-b090-4cf2-abd2-8487850f144d/gaussian_30_dcm_pbe0_adz_esp.pkl,test,0.0,7a9a4991-b090-4cf2-abd2-8487850f144d,0.0,scan
56,0.505205158781471,pkls/7a9a4991-b090-4cf2-abd2-8487850f144d/gaussian_5_dcm_pbe0_adz_esp.pkl,test,0.0,7a9a4991-b090-4cf2-abd2-8487850f144d,0.0,scan
57,0.5006466469535117,pkls/7a9a4991-b090-4cf2-abd2-8487850f144d/test_nms_31_1.xyz_esp.pkl,test,0.0,7a9a4991-b090-4cf2-abd2-8487850f144d,0.0,nms
58,0.499528680806493,pkls/7a9a4991-b090-4cf2-abd2-8487850f144d/gaussian_15_dcm_pbe0_adz_esp.pkl,test,0.0,7a9a4991-b090-4cf2-abd2-8487850f144d,0.0,scan
59,0.5181034774304235,pkls/7a9a4991-b090-4cf2-abd2-8487850f144d/gaussian_21_dcm_pbe0_adz_esp.pkl,train,0.0,7a9a4991-b090-4cf2-abd2-8487850f144d,0.0,scan
60,0.4985494034538188,pkls/7a9a4991-b090-4cf2-abd2-8487850f144d/test_nms_16_6.xyz_esp.pkl,train,0.0,7a9a4991-b090-4cf2-abd2-8487850f144d,0.0,nms
61,0.49305310493829013,pkls/7a9a4991-b090-4cf2-abd2-8487850f144d/gaussian_52_dcm_pbe0_adz_esp.pkl,train,0.0,7a9a4991-b090-4cf2-abd2-8487850f144d,0.0,scan
62,0.502317079995035,pkls/7a9a4991-b090-4cf2-abd2-8487850f144d/gaussian_47_dcm_pbe0_adz_esp.pkl,test,0.0,7a9a4991-b090-4cf2-abd2-8487850f144d,0.0,scan
63,0.5142102271539605,pkls/7a9a4991-b090-4cf2-abd2-8487850f144d/test_nms_41_8.xyz_esp.pkl,train,0.0,7a9a4991-b090-4cf2-abd2-8487850f144d,0.0,nms
64,0.5176264278780888,pkls/7a9a4991-b090-4cf2-abd2-8487850f144d/gaussian_4_dcm_pbe0_adz_esp.pkl,train,0.0,7a9a4991-b090-4cf2-abd2-8487850f144d,0.0,scan
65,0.49498481051431087,pkls/7a9a4991-b090-4cf2-abd2-8487850f144d/test_nms_6_6.xyz_esp.pkl,train,0.0,7a9a4991-b090-4cf2-abd2-8487850f144d,0.0,nms
66,0.5010611475015304,pkls/7a9a4991-b090-4cf2-abd2-8487850f144d/gaussian_45_dcm_pbe0_adz_esp.pkl,train,0.0,7a9a4991-b090-4cf2-abd2-8487850f144d,0.0,scan
67,0.5110396220709059,pkls/7a9a4991-b090-4cf2-abd2-8487850f144d/test_nms_38_0.xyz_esp.pkl,test,0.0,7a9a4991-b090-4cf2-abd2-8487850f144d,0.0,nms
68,0.5200790431093548,pkls/7a9a4991-b090-4cf2-abd2-8487850f144d/gaussian_58_dcm_pbe0_adz_esp.pkl,test,0.0,7a9a4991-b090-4cf2-abd2-8487850f144d,0.0,scan
69,0.5189257628420968,pkls/7a9a4991-b090-4cf2-abd2-8487850f144d/test_nms_28_0.xyz_esp.pkl,train,0.0,7a9a4991-b090-4cf2-abd2-8487850f144d,0.0,nms
70,0.519092648611836,pkls/7a9a4991-b090-4cf2-abd2-8487850f144d/test_nms_40_2.xyz_esp.pkl,test,0.0,7a9a4991-b090-4cf2-abd2-8487850f144d,0.0,nms
71,0.5075007671312154,pkls/7a9a4991-b090-4cf2-abd2-8487850f144d/gaussian_46_dcm_pbe0_adz_esp.pkl,train,0.0,7a9a4991-b090-4cf2-abd2-8487850f144d,0.0,scan
72,0.5093906053711476,pkls/7a9a4991-b090-4cf2-abd2-8487850f144d/gaussian_0_dcm_pbe0_adz_esp.pkl,test,0.0,7a9a4991-b090-4cf2-abd2-8487850f144d,0.0,scan
73,0.5132649386822598,pkls/7a9a4991-b090-4cf2-abd2-8487850f144d/gaussian_29_dcm_pbe0_adz_esp.pkl,train,0.0,7a9a4991-b090-4cf2-abd2-8487850f144d,0.0,scan
74,0.5113535439967388,pkls/7a9a4991-b090-4cf2-abd2-8487850f144d/gaussian_1_dcm_pbe0_adz_esp.pkl,train,0.0,7a9a4991-b090-4cf2-abd2-8487850f144d,0.0,scan
75,0.49666873467127126,pkls/7a9a4991-b090-4cf2-abd2-8487850f144d/test_nms_40_5.xyz_esp.pkl,train,0.0,7a9a4991-b090-4cf2-abd2-8487850f144d,0.0,nms
76,0.5050852518711576,pkls/7a9a4991-b090-4cf2-abd2-8487850f144d/gaussian_44_dcm_pbe0_adz_esp.pkl,train,0.0,7a9a4991-b090-4cf2-abd2-8487850f144d,0.0,scan
77,0.5105590860778115,pkls/7a9a4991-b090-4cf2-abd2-8487850f144d/gaussian_71_dcm_pbe0_adz_esp.pkl,train,0.0,7a9a4991-b090-4cf2-abd2-8487850f144d,0.0,scan
78,0.5097360179830245,pkls/7a9a4991-b090-4cf2-abd2-8487850f144d/gaussian_53_dcm_pbe0_adz_esp.pkl,train,0.0,7a9a4991-b090-4cf2-abd2-8487850f144d,0.0,scan
79,0.5164449894158656,pkls/7a9a4991-b090-4cf2-abd2-8487850f144d/gaussian_33_dcm_pbe0_adz_esp.pkl,train,0.0,7a9a4991-b090-4cf2-abd2-8487850f144d,0.0,scan
80,0.5155921747410687,pkls/7a9a4991-b090-4cf2-abd2-8487850f144d/gaussian_42_dcm_pbe0_adz_esp.pkl,test,0.0,7a9a4991-b090-4cf2-abd2-8487850f144d,0.0,scan
81,0.5159946094581622,pkls/7a9a4991-b090-4cf2-abd2-8487850f144d/gaussian_34_dcm_pbe0_adz_esp.pkl,test,0.0,7a9a4991-b090-4cf2-abd2-8487850f144d,0.0,scan
82,0.5037191487566689,pkls/7a9a4991-b090-4cf2-abd2-8487850f144d/gaussian_69_dcm_pbe0_adz_esp.pkl,train,0.0,7a9a4991-b090-4cf2-abd2-8487850f144d,0.0,scan
83,0.5304770227032094,pkls/7a9a4991-b090-4cf2-abd2-8487850f144d/gaussian_63_dcm_pbe0_adz_esp.pkl,test,0.0,7a9a4991-b090-4cf2-abd2-8487850f144d,0.0,scan
84,0.5091977246934649,pkls/7a9a4991-b090-4cf2-abd2-8487850f144d/gaussian_66_dcm_pbe0_adz_esp.pkl,test,0.0,7a9a4991-b090-4cf2-abd2-8487850f144d,0.0,scan
85,0.5042770011515354,pkls/7a9a4991-b090-4cf2-abd2-8487850f144d/gaussian_62_dcm_pbe0_adz_esp.pkl,train,0.0,7a9a4991-b090-4cf2-abd2-8487850f144d,0.0,scan
86,0.5095773776565159,pkls/7a9a4991-b090-4cf2-abd2-8487850f144d/test_nms_48_1.xyz_esp.pkl,train,0.0,7a9a4991-b090-4cf2-abd2-8487850f144d,0.0,nms
87,0.5275753955029044,pkls/7a9a4991-b090-4cf2-abd2-8487850f144d/gaussian_19_dcm_pbe0_adz_esp.pkl,train,0.0,7a9a4991-b090-4cf2-abd2-8487850f144d,0.0,scan
